Season Number,Episode Number,Startup Name,Pitch Number,Season Start,Season End,Original Air Date,Industry,Business Description,Company Website,UK Viewership,Channel Name,Pitchers Gender,Pitchers Average Age,Pitchers City,Pitchers State,Entrepreneur Names,Multiple Entrepreneurs,Original Ask Amount,Original Offered Equity,Valuation Requested,Received Offer,Accepted Offer,Deal Successful,Total Deal Amount,Total Deal Equity,Deal Valuation,Number of Dragons in Deal,Investment Amount Per Dragon,Equity Per Dragon,Royalty Deal,Advisory Shares Equity,Loan,Deal Has Conditions,Peter Jones Investment Amount,Peter Jones Investment Equity,Deborah Meaden Investment Amount,Deborah Meaden Investment Equity,Duncan Bannatyne Investment Amount,Duncan Bannatyne Investment Equity,Theo Paphitis Investment Amount,Theo Paphitis Investment Equity,Touker Suleyman Investment Amount,Touker Suleyman Investment Equity,Sara Davies Investment Amount,Sara Davies Investment Equity,Guest Investment Amount,Guest Investment Equity,Invested Guest Name,Peter Jones Present,Deborah Meaden Present,Duncan Bannatyne Present,Theo Paphitis Present,Touker Suleyman Present,Sara Davies Present,Guest Present
1,1,ArtOutThere,1,4-Jan-05,8-Feb-05,4-Jan-05,Fitness/Sports/Outdoors,"An annual arts and music, outdoor weekend event",,,BBC Two,,,,,Gavin Drake,0,100000,49,204082,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,
1,1,BabyDreamMachine,2,4-Jan-05,8-Feb-05,4-Jan-05,Children/Education,Aid for rocking baby cots,https://www.babydreammachine.com/,,BBC Two,,,,,Graham Whitby and Barry Haigh,1,250000,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,
1,1,BlowDryBar,3,4-Jan-05,8-Feb-05,4-Jan-05,Fashion/Beauty,Hairdressing salon offering blow-dry services,,,BBC Two,,,,,Rachel Fiddes,0,60000,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,
1,1,EmandJoLtd,4,4-Jan-05,8-Feb-05,4-Jan-05,Fashion/Beauty,"Womenswear, fashion and accessories",,,BBC Two,,,,,Joanne Morrison and Emma McPherson,1,60000,20,300000,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,
1,1,EthicalClothingRange,5,4-Jan-05,8-Feb-05,4-Jan-05,Fashion/Beauty,Ethical clothing fashion range,,,BBC Two,,,,,Jeremy Davis,0,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,
1,1,GolfAdvertisingLtd,6,4-Jan-05,8-Feb-05,4-Jan-05,Fitness/Sports/Outdoors,Golf advertising in driving range bays,,,BBC Two,,,,,Yul Thompson,0,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,
1,1,Incarnation,7,4-Jan-05,8-Feb-05,4-Jan-05,Automotive,Disney themed car styling,,,BBC Two,,,,,Paul Clark,0,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,
1,1,StubbiandCoLtd,8,4-Jan-05,8-Feb-05,4-Jan-05,Lifestyle/Home,Cigarette stub pouches,,,BBC Two,,,,,Ian McCormack,0,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,
1,1,Umbrolly,9,4-Jan-05,8-Feb-05,4-Jan-05,Business Services,Multimedia vending unit selling umbrellas and adverts,,,BBC Two,,,,,Charles Ejogo,0,150000,40,375000,1,1,1,150000,40,375000,2,75000,20,,,,,75000,20,,,75000,20,,,,,,,,,,1,,1,,,,
1,1,WelltimeLtd,10,4-Jan-05,8-Feb-05,4-Jan-05,Software/Tech,Software and IT development consultancy,,,BBC Two,,,,,Mubbasher Khanzada,0,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,
1,2,AllofaQuiver,11,4-Jan-05,8-Feb-05,11-Jan-05,Business Services,Hands free holder for carrying flowers,,,BBC Two,,,,,Lyn Harlow,0,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,
1,2,Dog&DuckAle,12,4-Jan-05,8-Feb-05,11-Jan-05,Liquor/Alcohol,Ale beer cartons,,,BBC Two,,,,,John Dibden,0,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,
1,2,GrailsLtd1,13,4-Jan-05,8-Feb-05,11-Jan-05,Fashion/Beauty,Tailor-made suits for businesswomen,,,BBC Two,,,,,Tracey Ann Graily,0,120000,40,300000,1,1,1,120000,40,300000,2,60000,20,,,,,,,,,,,,,,,,,120000,40,"DougRichard,RachelElnaugh",1,,1,,,,2
1,2,KestrelAerospacePAV,14,4-Jan-05,8-Feb-05,11-Jan-05,Business Services,One person air vehicle using a ducted fan propulsion system,,,BBC Two,,,,,Simon Scott,0,150000,15,1000000,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,
1,2,LaserDIY,15,4-Jan-05,8-Feb-05,11-Jan-05,Business Services,Laser operated spirit level,,,BBC Two,,,,,Nigel Williams,0,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,
1,2,MandalaAroma,16,4-Jan-05,8-Feb-05,11-Jan-05,Fashion/Beauty,Organic aromatherapy skin products,,,BBC Two,,,,,Gillian Kavannagh,0,50000,10,500000,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,
1,2,MigraCap,17,4-Jan-05,8-Feb-05,11-Jan-05,Health/Wellness,Headband for migraines relief,,,BBC Two,,,,,Hywel Edwards and Alison Morgan,1,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,
1,2,MusicControl,18,4-Jan-05,8-Feb-05,11-Jan-05,Software/Tech,Website launches for independent music artists,,,BBC Two,,,,,Richard Croft and Chris Thompson,1,200000,25,800000,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,
1,2,ProjectY,19,4-Jan-05,8-Feb-05,11-Jan-05,Green/CleanTech,Fair trade organic fast-food outlets,,,BBC Two,,,,,Justin Gabriel,0,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,
1,2,PureBake,20,4-Jan-05,8-Feb-05,11-Jan-05,Lifestyle/Home,Additive-free baking powders,,,BBC Two,,,,,Marianne Jones,0,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,
1,2,StableTable,21,4-Jan-05,8-Feb-05,11-Jan-05,Fitness/Sports/Outdoors,Device designed to stabilise unbalanced tables,,,BBC Two,,,,,Andrew Gordon,0,87000,33,263636,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,
1,3,Awaydays,22,4-Jan-05,8-Feb-05,18-Jan-05,Media/Entertainment,Funding for a film project,,,BBC Two,,,,,Kevin Sampson,0,100000,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,
1,3,CareFreeHouse,23,4-Jan-05,8-Feb-05,18-Jan-05,Lifestyle/Home,Castle restorations,,,BBC Two,,,,,James Brown,0,80000,8,1000000,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,
1,3,CuriositiesforKids,24,4-Jan-05,8-Feb-05,18-Jan-05,Children/Education,Children's toys for travel,,,BBC Two,,,,,Suzanne Longworth,0,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,
1,3,EsmeErtekinShoeClub,25,4-Jan-05,8-Feb-05,18-Jan-05,Fashion/Beauty,Over 40s Fashion Range,,,BBC Two,,,,,Esme Eretkin,0,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,
1,3,ForArtsSake,26,4-Jan-05,8-Feb-05,18-Jan-05,Lifestyle/Home,Self designed artwork,,,BBC Two,,,,,David Hancock,0,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,
1,3,IVCam,27,4-Jan-05,8-Feb-05,18-Jan-05,Business Services,A 3D measuring system using camera technology,,,BBC Two,,,,,John and Phillip Petty,1,50000,30,166667,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,
1,3,LeBeanock,28,4-Jan-05,8-Feb-05,18-Jan-05,Lifestyle/Home,A beanbag hammock,,,BBC Two,,,,,Tracie Herrtage,0,54000,49,110204,1,1,1,54000,49,110204,1,54000,49,,,,,,,,,,,,,,,,,54000,49,RachelElnaugh,1,,1,,,,1
1,3,OutaboxLtd,29,4-Jan-05,8-Feb-05,18-Jan-05,Fitness/Sports/Outdoors,Disposable outdoor leisure furniture,,,BBC Two,,,,,Gayle Blanchflower,0,125000,5,2500000,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,
1,3,Sweetspot,30,4-Jan-05,8-Feb-05,18-Jan-05,Fitness/Sports/Outdoors,Latex accessory for football boots,,,BBC Two,,,,,Jeffery Wheeler,0,80000,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,
1,3,WebbedPaddles,31,4-Jan-05,8-Feb-05,18-Jan-05,Fitness/Sports/Outdoors,Canoe paddling tool,,,BBC Two,,,,,Chad Townsend,0,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,
1,4,ByoBin,32,4-Jan-05,8-Feb-05,25-Jan-05,Green/CleanTech,Waste storage with protection from odour,,,BBC Two,,,,,Stewart Twinn,0,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,
1,4,DestinationLondon,33,4-Jan-05,8-Feb-05,25-Jan-05,Media/Entertainment,Taxi themed board game,,,BBC Two,,,,,Rachel Lowe,0,75000,30,250000,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,
1,4,DragonsCars,34,4-Jan-05,8-Feb-05,25-Jan-05,Automotive,Racing car designed for public roads,,,BBC Two,,,,,Jenny and Bill Conway,1,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,
1,4,HalalCuisines,35,4-Jan-05,8-Feb-05,25-Jan-05,Food and Beverage,Halal based convenience food,,,BBC Two,,,,,Younis Ali,0,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,
1,4,KaraokeMachine,36,4-Jan-05,8-Feb-05,25-Jan-05,Media/Entertainment,Karaoke machine recording vocals and video,,,BBC Two,,,,,Shaun Costello,0,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,
1,4,MaxiMat,37,4-Jan-05,8-Feb-05,25-Jan-05,Lifestyle/Home,Odour absorbing mat,,,BBC Two,,,,,David Tully,0,50000,10,500000,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,
1,4,MycorrhizalSystems,38,4-Jan-05,8-Feb-05,25-Jan-05,Green/CleanTech,Land for a truffle farm,,,BBC Two,,,,,Paul Thomas,0,75000,25,300000,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,
1,4,TastyAprons,39,4-Jan-05,8-Feb-05,25-Jan-05,Lifestyle/Home,Kitchen fashion aprons,,,BBC Two,,,,,Natasha Mason,0,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,
1,4,TattooErase,40,4-Jan-05,8-Feb-05,25-Jan-05,Fashion/Beauty,Tattoo removal service,,,BBC Two,,,,,Barbara-Simpson and Richard Birks,1,250000,10,2500000,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,
1,4,WestBrewingCompany,41,4-Jan-05,8-Feb-05,25-Jan-05,Liquor/Alcohol,Glasgow beer brewing,,,BBC Two,,,,,Petra and Gordon Wetzel-Stewert,1,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,
1,5,A-FrameGolf,42,4-Jan-05,8-Feb-05,1-Feb-05,Fitness/Sports/Outdoors,Lighter and cheaper golf bag,,,BBC Two,,,,,Jo Gascoigne,0,125000,26.3,475285,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,
1,5,Bathrobics,43,4-Jan-05,8-Feb-05,1-Feb-05,Fitness/Sports/Outdoors,Exercises performed in a bath,,,BBC Two,,,,,Jane Dorey,0,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,
1,5,ElizabethGaltonLtd,44,4-Jan-05,8-Feb-05,1-Feb-05,Lifestyle/Home,Custom-made jewellery,,,BBC Two,,,,,Elizabeth Galton,0,110000,30,366667,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,
1,5,Holi-Doze,45,4-Jan-05,8-Feb-05,1-Feb-05,Children/Education,Inflatable travel cot for babies,,,BBC Two,,,,,Joanne Bradford,0,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,
1,5,PlantPal,46,4-Jan-05,8-Feb-05,1-Feb-05,Lifestyle/Home,Self-watering systems for plants,,,BBC Two,,,,,Ade Andu,0,100000,25,400000,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,
1,5,ProfilesSystems,47,4-Jan-05,8-Feb-05,1-Feb-05,Health/Wellness,Non-surgical facelifts,,,BBC Two,,,,,Anthony Johnson,0,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,
1,5,RayinkLimited,48,4-Jan-05,8-Feb-05,1-Feb-05,Children/Education,Canopy for pushing prams,,,BBC Two,,,,,Yinka Davies,0,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,
1,5,SecuredSound,49,4-Jan-05,8-Feb-05,1-Feb-05,Health/Wellness,Card reminder for doctors appointments,,,BBC Two,,,,,Dr Kim Can,0,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,
1,5,SlimPC,50,4-Jan-05,8-Feb-05,1-Feb-05,Green/CleanTech,Computer manufactured with wood as opposed to plastic,,,BBC Two,,,,,Dr John Garside,0,190000,25,760000,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,
1,5,Travelseal,51,4-Jan-05,8-Feb-05,1-Feb-05,Lifestyle/Home,Security labels for travel luggage,,,BBC Two,,,,,Floyd Peltier,0,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,
1,6,CabtivateMediaLtd,52,4-Jan-05,8-Feb-05,8-Feb-05,Media/Entertainment,Advertising and entertainment television service for taxis,,,BBC Two,,,,,Mark Greenhalgh,0,100000,10,1000000,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,
1,6,Comatel,53,4-Jan-05,8-Feb-05,8-Feb-05,Lifestyle/Home,Temporary repair for leaking water pipes,,,BBC Two,,,,,Paula Ward,0,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,
1,6,Dinnerpoint.com,54,4-Jan-05,8-Feb-05,8-Feb-05,Software/Tech,Dinner dating agency,,,BBC Two,,,,,Fenner Austen,0,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,
1,6,EMMedical,55,4-Jan-05,8-Feb-05,8-Feb-05,Health/Wellness,Aid for musical spains and muscle aches,,,BBC Two,,,,,Rory Orr,0,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,
1,6,Grid108,56,4-Jan-05,8-Feb-05,8-Feb-05,Software/Tech,Website creating 3D maps of cities for use as search engines,,,BBC Two,,,,,Ayesha Broadbent,0,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,
1,6,In-velope,57,4-Jan-05,8-Feb-05,8-Feb-05,Lifestyle/Home,Multi-purpose storage solution,,,BBC Two,,,,,Stephen Mallet,0,150000,10,1500000,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,
1,6,Snowbone,58,4-Jan-05,8-Feb-05,8-Feb-05,Lifestyle/Home,Handle attachment for snowboards,,,BBC Two,,,,,Nik Rawcliff and Paddy Radcliff,1,75000,33.3,225225,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,
1,6,TechnoDeck,59,4-Jan-05,8-Feb-05,8-Feb-05,Green/CleanTech,Wheel ramps made from recycled tyres,,,BBC Two,,,,,Simon Gasgoyne and Nigel Williams,1,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,
1,6,ToiletSnake,60,4-Jan-05,8-Feb-05,8-Feb-05,Lifestyle/Home,Toilet cleaning accessory,,,BBC Two,,,,,David Daly,0,25000,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,
1,6,VisualTalentLtd,61,4-Jan-05,8-Feb-05,8-Feb-05,Fashion/Beauty,Wonderland high- end fashion and culture magazine,,,BBC Two,,,,,Huw Gwyther,0,175000,40,437500,1,1,1,175000,40,437500,1,175000,40,,,,,175000,40,,,,,,,,,,,,,,1,,1,,,,
2,1,DustBubble,62,15-Nov-05,20-Dec-05,15-Nov-05,Lifestyle/Home,Cleaning agent for drills,,2.22,BBC Two,,,,,Nick Nobel,0,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,1,,,
2,1,F8Clothing,63,15-Nov-05,20-Dec-05,15-Nov-05,Fashion/Beauty,Fleece clothing accessories,,2.22,BBC Two,,,,,Kendra Torgan,0,145000,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,1,,,
2,1,LippiStix,64,15-Nov-05,20-Dec-05,15-Nov-05,Fashion/Beauty,Small brush designed to fit into all brands of lipstick tubes,,2.22,BBC Two,,,,,Teresa Strong,0,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,1,,,
2,1,MakeUpSchool,65,15-Nov-05,20-Dec-05,15-Nov-05,Fashion/Beauty,School for make-up artists,,2.22,BBC Two,,,,,Daniel Parker,0,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,1,,,
2,1,RakaStaka,66,15-Nov-05,20-Dec-05,15-Nov-05,Liquor/Alcohol,Stacking units for beer bottles in fridges,,2.22,BBC Two,,,,,Stefano Matheou,0,100000,20,500000,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,1,,,
2,1,SmartyPants,67,15-Nov-05,20-Dec-05,15-Nov-05,Fashion/Beauty,Underwear with personalised names,,2.22,BBC Two,,,,,Claire Locke,0,150000,25,600000,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,1,,,
2,1,SquareMile,68,15-Nov-05,20-Dec-05,15-Nov-05,Lifestyle/Home,Wireless broadband supplier to UK marinas,,2.22,BBC Two,,,,,Dominic Killinger,0,150000,40,375000,1,1,1,150000,40,375000,2,75000,20,,,,yes,75000,20,,,,,75000,20,,,,,,,,1,,1,1,,,
2,1,StarTrekPyjamas,69,15-Nov-05,20-Dec-05,15-Nov-05,Fashion/Beauty,Star Trek themed nightwear for adults,,2.22,BBC Two,,,,,Andy Bush,0,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,1,,,
2,1,SuperKnees,70,15-Nov-05,20-Dec-05,15-Nov-05,Fitness/Sports/Outdoors,Strap on roller skates easing knee strain,,2.22,BBC Two,,,,,Stipan Saulich,0,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,1,,,
2,1,TheBigO,71,15-Nov-05,20-Dec-05,15-Nov-05,Fashion/Beauty,Pre-packed marinated olive selection,,2.22,BBC Two,,,,,Alex Hall,0,150000,15,1000000,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,1,,,
2,1,TheMagicRoundabout,72,15-Nov-05,20-Dec-05,15-Nov-05,Children/Education,Packages of children's sweets and toys,,2.22,BBC Two,,,,,Phil Gold,0,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,1,,,
2,2,BedlamPuzzles,73,15-Nov-05,20-Dec-05,22-Nov-05,Children/Education,3-D puzzles,,2.33,BBC Two,,,,,Danny Bamping,0,100000,30,333333,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,1,,,
2,2,CannyCollar,74,15-Nov-05,20-Dec-05,22-Nov-05,Pet Products,Training lead for dogs,,2.33,BBC Two,,,,,Sean McElherron,0,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,1,,,
2,2,InterFlush,75,15-Nov-05,20-Dec-05,22-Nov-05,Lifestyle/Home,Device saving water usage on toilets,,2.33,BBC Two,,,,,David Wilkes,0,50000,5,1000000,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,1,,,
2,2,Orikaso,76,15-Nov-05,20-Dec-05,22-Nov-05,Food and Beverage,Foldable food and cooking accessories,,2.33,BBC Two,,,,,Jay Cousins,0,100000,40,250000,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,1,,,
2,2,PoleDanceFitness,77,15-Nov-05,20-Dec-05,22-Nov-05,Fitness/Sports/Outdoors,Pole dancing classes,,2.33,BBC Two,,,,,Sarah Davis,0,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,1,,,
2,2,SheWee,78,15-Nov-05,20-Dec-05,22-Nov-05,Lifestyle/Home,Female toilet aid,,2.33,BBC Two,,,,,Samantha Fountain,0,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,1,,,
2,2,Sisserou,79,15-Nov-05,20-Dec-05,22-Nov-05,Liquor/Alcohol,Liqueur made from rum and coconut,,2.33,BBC Two,,,,,Julie LeRoun,0,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,1,,,
2,2,StyleBible,80,15-Nov-05,20-Dec-05,22-Nov-05,Software/Tech,Online travel destination recommendations,,2.33,BBC Two,,,,,Amanda Zuydervelt,0,250000,25,1000000,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,1,,,
2,2,TennisIsMental,81,15-Nov-05,20-Dec-05,22-Nov-05,Fitness/Sports/Outdoors,Psychology book for tennis players,,2.33,BBC Two,,,,,Steven Renwick,0,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,1,,,
2,2,TheSmoodyPod,82,15-Nov-05,20-Dec-05,22-Nov-05,Food and Beverage,Blender for smoothies,,2.33,BBC Two,,,,,Prince Tikare,0,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,1,,,
2,2,Uzero,83,15-Nov-05,20-Dec-05,22-Nov-05,Fashion/Beauty,Sparkled female thong underwear,,2.33,BBC Two,,,,,Eretsu Sabrazi,0,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,1,,,
2,3,AccommodationforStudents,84,15-Nov-05,20-Dec-05,29-Nov-05,Software/Tech,Website for students accommodation,,2.29,BBC Two,,,,,William Berry,0,150000,50,300000,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,1,,,
2,3,BrandTheory,85,15-Nov-05,20-Dec-05,29-Nov-05,Software/Tech,Storage for digital content,,2.29,BBC Two,,,,,Dom Foulsham,0,175000,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,1,,,
2,3,DegreeArt,86,15-Nov-05,20-Dec-05,29-Nov-05,Software/Tech,Online art dealership,,2.29,BBC Two,,,,,Elimor Olisa and Isobel Beauchamp,1,50000,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,1,,,
2,3,EliteSport,87,15-Nov-05,20-Dec-05,29-Nov-05,Health/Wellness,Protein nutritional supplements,,2.29,BBC Two,,,,,Shaz Agar,0,110000,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,1,,,
2,3,PixiLighterHolder,88,15-Nov-05,20-Dec-05,29-Nov-05,Lifestyle/Home,Holder for lighters on cigarette packets,,2.29,BBC Two,,,,,Will Downing,0,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,1,,,
2,3,Pomelo,89,15-Nov-05,20-Dec-05,29-Nov-05,Fashion/Beauty,Female sandals range,,2.29,BBC Two,,,,,Victoria Tringham,0,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,1,,,
2,3,Roton,90,15-Nov-05,20-Dec-05,29-Nov-05,Automotive,Internal combustion aid for motors,,2.29,BBC Two,,,,,Kingsley Wright,0,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,1,,,
2,3,SeaScope,91,15-Nov-05,20-Dec-05,29-Nov-05,Fitness/Sports/Outdoors,Jet boarding propelled surfboard,,2.29,BBC Two,,,,,David Dunne and Mark Williams,1,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,1,,,
2,3,TrulyMadlyBaby,92,15-Nov-05,20-Dec-05,29-Nov-05,Children/Education,"Baby products, via party evenings and web",,2.29,BBC Two,,,,,Julie White,0,75000,45,166667,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,1,,,
2,3,TwoBecomeOneJewellery,93,15-Nov-05,20-Dec-05,29-Nov-05,Fashion/Beauty,Avant-Garde jewellery range,,2.29,BBC Two,,,,,Wade Royd Taylor,0,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,1,,,
2,3,Ultrashave,94,15-Nov-05,20-Dec-05,29-Nov-05,Lifestyle/Home,Shaving cream made from exotic plant extracts and fruit oils,,2.29,BBC Two,,,,,Bob Noburn,0,150000,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,1,,,
2,4,AmbientAllstars,95,15-Nov-05,20-Dec-05,6-Dec-05,Business Services,Marketing agency,,2.46,BBC Two,,,,,Jonathan Astor,0,100000,15,666667,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,1,,,
2,4,Anti-PiracyInvention,96,15-Nov-05,20-Dec-05,6-Dec-05,Business Services,Piracy protection at cinemas,,2.46,BBC Two,,,,,Larry Thompson and Ron Vigna,1,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,1,,,
2,4,BabyDreamMachine,97,15-Nov-05,20-Dec-05,6-Dec-05,Business Services,Aid rocking cots and cribs,,2.46,BBC Two,,,,,Graham Whitby and Barry Haigh,1,250000,10,2500000,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,1,,,
2,4,Chocpix,98,15-Nov-05,20-Dec-05,6-Dec-05,Food and Beverage,Chocolates designed on photographs,,2.46,BBC Two,,,,,Francesco Lia,0,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,1,,,
2,4,Circaroma,99,15-Nov-05,20-Dec-05,6-Dec-05,Fashion/Beauty,Organic oil skincare,,2.46,BBC Two,,,,,Barbara Scott and Steve Atkinson,1,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,1,,,
2,4,ConcreteCanvas,100,15-Nov-05,20-Dec-05,6-Dec-05,Business Services,Emergency shelter design concept,,2.46,BBC Two,,,,,Peter Brewin and William Crawford,1,80000,50,160000,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,1,,,
2,4,FreshPasta,101,15-Nov-05,20-Dec-05,6-Dec-05,Food and Beverage,Range of fresh pasta dishes,,2.46,BBC Two,,,,,Robert Bookham,0,95000,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,1,,,
2,4,HipClip,102,15-Nov-05,20-Dec-05,6-Nov-05,Food and Beverage,Holster for drinks,,2.46,BBC Two,,,,,Darren Bainbridge,0,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,1,,,
2,4,K92Co,103,15-Nov-05,20-Dec-05,6-Dec-05,Green/CleanTech,Aid for collecting animal waste,,2.46,BBC Two,,,,,Gary and Lindsay Shuttleworth,1,150000,10,1500000,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,1,,,
2,4,Reefski,104,15-Nov-05,20-Dec-05,6-Dec-05,Fitness/Sports/Outdoors,Submersible watercraft boat,,2.46,BBC Two,,,,,Robin Harris,0,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,1,,,
